InvoiceNo,InvoiceDate,CustomerID,Country,ProductID,ProductDescription,Quantity,UnitPrice,TotalAmount
INV935842,2024-05-12,CUST0114,Brazil,P1014,Running Shoes,2,67.16,134.32
INV987401,2024-08-12,CUST0188,France,P1002,Bluetooth Speaker,5,33.05,165.25
INV572939,2024-07-12,CUST0245,Germany,P1014,Running Shoes,2,66.56,133.12
INV459591,2024-09-29,CUST0593,Australia,P1009,Backpack,3,46.65,139.95
INV100085,2024-03-27,CUST0272,Brazil,P1006,Coffee Mug,1,8.56,8.56
INV570404,2024-09-04,CUST0570,Brazil,P1009,Backpack,4,44.39,177.56
INV473280,2024-05-05,CUST0229,Brazil,P1001,Wireless Mouse,1,15.49,15.49
INV344862,2023-01-01,CUST0453,Uk,P1001,Wireless Mouse,3,15.82,47.46
INV911076,2024-07-14,CUST0754,Australia,P1008,Water Bottle,2,11.91,23.82
INV435242,2023-08-26,CUST0667,Usa,P1003,Notebook Set,1,6.52,6.52
INV730922,2024-03-16,CUST0474,Usa,P1015,Winter Jacket,1,120.87,120.87
INV610905,2024-07-27,CUST0440,Brazil,P1010,Phone Case,2,9.96,19.92
INV886742,2024-09-09,CUST0717,Brazil,P1005,Office Chair,1,87.76,87.76
INV644135,2024-10-22,CUST0645,Australia,P1003,Notebook Set,5,6.73,33.65
INV100834,2023-01-01,CUST0632,France,P1002,Bluetooth Speaker,3,33.57,100.71
INV164029,2024-06-24,CUST0081,Germany,P1005,Office Chair,5,92.84,464.2
INV965104,2024-11-22,CUST0057,Canada,P1010,Phone Case,5,9.53,47.65
INV305557,2023-07-31,CUST0444,Germany,P1002,Bluetooth Speaker,4,33.65,134.6
INV837757,2024-09-04,CUST0066,Brazil,P1005,Office Chair,2,93.72,187.44
INV384022,2024-09-15,CUST0190,Canada,P1009,Backpack,2,43.05,86.1
INV508861,2024-09-19,CUST0454,Canada,P1009,Backpack,1,46.08,46.08
INV363581,2024-09-02,CUST0410,France,P1010,Phone Case,4,9.83,39.32
INV495225,2024-01-24,CUST0632,France,P1014,Running Shoes,1,64.74,64.74
INV107150,2024-12-07,CUST0603,Canada,P1002,Bluetooth Speaker,1,35.71,35.71
INV170402,2024-07-26,CUST0693,France,P1003,Notebook Set,3,6.71,20.13
INV165981,2023-01-04,CUST0288,Brazil,P1005,Office Chair,5,90.19,450.95
INV896805,2023-11-21,CUST0580,France,P1005,Office Chair,5,89.3,446.5
INV435726,2024-11-08,CUST0462,France,P1004,Desk Lamp,5,21.75,108.75
INV741991,2023-04-11,CUST0034,Canada,P1014,Running Shoes,5,64.45,322.25
INV757148,2024-12-17,CUST0664,Uk,P1005,Office Chair,3,90.96,272.88
INV852513,2023-01-01,CUST0238,Germany,P1005,Office Chair,2,91.89,183.78
INV463577,2023-05-19,CUST0751,Canada,P1012,Gaming Headset,4,57.4,229.6
INV471704,2024-02-11,CUST0424,Canada,P1002,Bluetooth Speaker,3,34.54,103.62
INV546682,2023-01-01,CUST0153,India,P1012,Gaming Headset,5,57.05,285.25
INV263448,2024-08-07,CUST0512,Canada,P1013,Sticky Notes Pack,5,4.22,21.1
INV235699,2024-05-17,CUST0028,Germany,P1010,Phone Case,2,9.58,19.16
INV709474,2023-12-22,CUST0001,Germany,P1003,Notebook Set,4,6.96,27.84
INV597681,2024-07-09,CUST0331,Uk,P1013,Sticky Notes Pack,3,4.25,12.75
INV338930,2024-04-06,CUST0140,Australia,P1008,Water Bottle,4,11.86,47.44
INV648866,2024-06-26,CUST0155,India,P1005,Office Chair,3,87.21,261.63
INV880427,2024-08-07,CUST0570,Brazil,P1011,Table Lamp,2,28.13,56.26
INV960017,2023-04-30,CUST0136,Canada,P1004,Desk Lamp,3,22.27,66.81
INV384199,2023-10-11,CUST0211,France,P1010,Phone Case,4,9.85,39.4
INV974768,2024-08-01,CUST0708,Usa,P1010,Phone Case,2,10.47,20.94
INV476196,2024-09-02,CUST0153,India,P1008,Water Bottle,3,11.63,34.89
INV184636,2024-06-13,CUST0771,Brazil,P1007,Yoga Mat,2,19.6,39.2
INV872961,2024-11-28,CUST0174,India,P1006,Coffee Mug,1,8.17,8.17
INV967841,2024-10-23,CUST0458,France,P1014,Running Shoes,2,67.29,134.58
INV202966,2023-07-26,CUST0491,Australia,P1014,Running Shoes,2,65.9,131.8
INV204287,2024-09-18,CUST0034,Canada,P1004,Desk Lamp,2,21.19,42.38
INV998741,2024-05-16,CUST0195,Australia,P1001,Wireless Mouse,2,15.26,30.52
INV398323,2024-11-18,CUST0678,Germany,P1015,Winter Jacket,3,118.93,356.79
INV999673,2023-11-05,CUST0745,France,P1015,Winter Jacket,1,125.8,125.8
INV868196,2024-11-28,CUST0351,Australia,P1005,Office Chair,1,87.03,87.03
INV993560,2024-05-12,CUST0267,Germany,P1011,Table Lamp,1,27.33,27.33
INV141233,2024-12-02,CUST0382,Germany,P1001,Wireless Mouse,2,16.13,32.26
INV149389,2023-01-01,CUST0288,Brazil,P1002,Bluetooth Speaker,4,35.09,140.36
INV572222,2024-10-06,CUST0210,Usa,P1004,Desk Lamp,3,22.28,66.84
INV596921,2023-01-01,CUST0115,Usa,P1013,Sticky Notes Pack,2,4.43,8.86
INV826338,2023-09-06,CUST0264,France,P1008,Water Bottle,5,11.02,55.1
INV272135,2023-01-01,CUST0651,Brazil,P1011,Table Lamp,2,26.51,53.02
INV536672,2024-11-12,CUST0382,Germany,P1008,Water Bottle,5,11.39,56.95
INV424580,2024-05-28,CUST0769,Canada,P1008,Water Bottle,4,11.99,47.96
INV526172,2024-05-28,CUST0792,Usa,P1003,Notebook Set,2,6.78,13.56
INV473822,2023-11-03,CUST0058,Brazil,P1002,Bluetooth Speaker,2,35.64,71.28
INV948486,2024-03-29,CUST0092,Australia,P1007,Yoga Mat,5,19.58,97.9
INV540241,2023-06-29,CUST0703,Canada,P1003,Notebook Set,2,6.96,13.92
INV580604,2024-01-16,CUST0087,Australia,P1010,Phone Case,3,10.21,30.63
INV536524,2024-10-27,CUST0214,Australia,P1003,Notebook Set,5,7.0,35.0
INV272298,2024-07-29,CUST0012,Canada,P1001,Wireless Mouse,5,15.86,79.3
INV454810,2024-11-21,CUST0104,India,P1009,Backpack,1,47.1,47.1
INV383839,2024-11-30,CUST0213,Australia,P1005,Office Chair,4,87.1,348.4
INV977082,2024-05-07,CUST0152,Uk,P1011,Table Lamp,3,27.73,83.19
INV502592,2024-09-10,CUST0731,India,P1009,Backpack,2,43.78,87.56
INV537901,2024-11-24,CUST0159,France,P1002,Bluetooth Speaker,4,32.93,131.72
INV151193,2024-02-05,CUST0755,Uk,P1002,Bluetooth Speaker,2,36.22,72.44
INV371698,2024-10-10,CUST0345,France,P1015,Winter Jacket,1,119.29,119.29
INV904200,2024-12-22,CUST0064,Brazil,P1013,Sticky Notes Pack,1,4.3,4.3
INV800632,2023-09-23,CUST0483,Australia,P1010,Phone Case,2,10.44,20.88
INV836528,2024-06-30,CUST0784,France,P1006,Coffee Mug,3,8.12,24.36
INV816676,2023-06-22,CUST0571,Canada,P1013,Sticky Notes Pack,2,4.22,8.44
INV400686,2024-08-16,CUST0489,Brazil,P1014,Running Shoes,2,62.36,124.72
INV809697,2024-11-14,CUST0358,Germany,P1015,Winter Jacket,5,124.58,622.9
INV651042,2024-11-23,CUST0414,Australia,P1004,Desk Lamp,4,22.02,88.08
INV541616,2024-11-28,CUST0533,Usa,P1006,Coffee Mug,1,8.06,8.06
INV826792,2024-07-25,CUST0165,Usa,P1011,Table Lamp,2,28.36,56.72
INV907877,2023-12-01,CUST0195,Australia,P1014,Running Shoes,3,66.93,200.79
INV458173,2023-11-19,CUST0603,Canada,P1007,Yoga Mat,4,20.89,83.56
INV782766,2024-09-15,CUST0276,India,P1002,Bluetooth Speaker,4,36.04,144.16
INV598442,2024-12-16,CUST0551,Brazil,P1014,Running Shoes,4,61.83,247.32
INV181016,2024-12-05,CUST0289,France,P1012,Gaming Headset,5,56.36,281.8
INV554053,2024-01-28,CUST0766,Brazil,P1002,Bluetooth Speaker,5,33.59,167.95
INV158008,2024-03-30,CUST0333,Canada,P1011,Table Lamp,5,28.29,141.45
INV115059,2024-07-01,CUST0277,Uk,P1005,Office Chair,4,89.02,356.08
INV943089,2023-06-01,CUST0366,India,P1010,Phone Case,2,9.88,19.76
INV634579,2023-11-07,CUST0731,India,P1014,Running Shoes,4,65.15,260.6
INV895925,2023-12-22,CUST0044,France,P1012,Gaming Headset,3,53.69,161.07
INV783339,2024-05-31,CUST0387,Brazil,P1010,Phone Case,2,9.65,19.3
INV464271,2024-08-29,CUST0237,Usa,P1011,Table Lamp,3,27.91,83.73
INV175631,2024-04-05,CUST0182,Brazil,P1014,Running Shoes,4,67.18,268.72
INV502652,2024-11-25,CUST0109,Australia,P1015,Winter Jacket,3,115.18,345.54
INV147210,2024-11-23,CUST0212,India,P1015,Winter Jacket,1,114.33,114.33
INV708320,2023-01-01,CUST0670,Brazil,P1003,Notebook Set,2,7.04,14.08
INV316444,2023-12-12,CUST0398,Usa,P1011,Table Lamp,4,28.27,113.08
INV371436,2024-11-23,CUST0013,Australia,P1015,Winter Jacket,3,125.43,376.29
INV774008,2023-12-09,CUST0648,Usa,P1008,Water Bottle,4,11.5,46.0
INV891815,2024-04-01,CUST0787,Uk,P1012,Gaming Headset,2,56.85,113.7
INV550911,2024-09-02,CUST0274,Germany,P1015,Winter Jacket,2,123.68,247.36
INV692501,2024-10-31,CUST0736,Uk,P1004,Desk Lamp,1,21.37,21.37
INV545086,2024-01-07,CUST0737,Australia,P1005,Office Chair,5,87.55,437.75
INV803814,2024-10-11,CUST0153,India,P1007,Yoga Mat,4,20.65,82.6
INV916171,2024-08-19,CUST0587,Canada,P1002,Bluetooth Speaker,1,35.14,35.14
INV816211,2023-10-29,CUST0532,France,P1001,Wireless Mouse,5,16.41,82.05
INV281121,2024-12-26,CUST0727,Germany,P1004,Desk Lamp,2,21.51,43.02
INV941114,2024-11-17,CUST0789,Uk,P1012,Gaming Headset,4,55.96,223.84
INV501031,2024-11-03,CUST0349,France,P1005,Office Chair,5,92.1,460.5
INV252577,2024-08-26,CUST0064,Brazil,P1011,Table Lamp,4,26.3,105.2
INV674294,2024-07-25,CUST0272,Brazil,P1014,Running Shoes,5,63.46,317.3
INV530341,2023-10-15,CUST0085,Usa,P1014,Running Shoes,4,67.92,271.68
INV940191,2023-10-07,CUST0507,Brazil,P1003,Notebook Set,5,7.08,35.4
INV867593,2024-10-10,CUST0750,Australia,P1014,Running Shoes,1,67.71,67.71
INV467418,2023-01-01,CUST0264,France,P1010,Phone Case,1,9.7,9.7
INV522526,2023-07-10,CUST0590,Brazil,P1005,Office Chair,4,88.51,354.04
INV868160,2024-11-27,CUST0364,Brazil,P1014,Running Shoes,1,67.16,67.16
INV559792,2023-11-22,CUST0242,Australia,P1006,Coffee Mug,1,8.03,8.03
INV104326,2024-07-19,CUST0689,Usa,P1008,Water Bottle,1,11.37,11.37
INV335515,2023-09-09,CUST0117,Germany,P1004,Desk Lamp,3,23.03,69.09
INV165070,2024-08-02,CUST0490,Canada,P1015,Winter Jacket,1,119.59,119.59
INV247526,2024-11-19,CUST0080,Uk,P1005,Office Chair,2,88.28,176.56
INV220334,2023-01-01,CUST0405,Germany,P1010,Phone Case,5,10.27,51.35
INV463577,2023-05-19,CUST0751,Canada,P1015,Winter Jacket,3,118.9,356.7
INV747866,2024-02-19,CUST0740,Brazil,P1009,Backpack,3,45.89,137.67
INV939756,2024-08-22,CUST0339,Brazil,P1011,Table Lamp,3,28.06,84.18
INV448669,2024-08-16,CUST0238,Germany,P1015,Winter Jacket,1,116.92,116.92
INV945063,2024-10-16,CUST0037,Germany,P1013,Sticky Notes Pack,1,4.14,4.14
INV126403,2024-08-01,CUST0011,Usa,P1002,Bluetooth Speaker,4,33.48,133.92
INV764193,2024-09-17,CUST0770,Canada,P1005,Office Chair,5,93.72,468.6
INV568476,2024-04-05,CUST0236,Australia,P1001,Wireless Mouse,2,15.23,30.46
INV230673,2023-01-01,CUST0367,Usa,P1001,Wireless Mouse,5,15.55,77.75
INV758731,2024-07-30,CUST0632,France,P1001,Wireless Mouse,5,16.72,83.6
INV235699,2024-05-17,CUST0028,Germany,P1008,Water Bottle,2,10.93,21.86
INV834781,2023-07-09,CUST0287,Brazil,P1001,Wireless Mouse,3,15.66,46.98
INV640505,2024-10-28,CUST0178,Australia,P1001,Wireless Mouse,4,16.18,64.72
INV646959,2024-06-30,CUST0536,France,P1015,Winter Jacket,5,120.28,601.4
INV938519,2024-08-14,CUST0566,Usa,P1001,Wireless Mouse,4,16.46,65.84
INV273615,2024-07-10,CUST0708,Usa,P1004,Desk Lamp,1,21.87,21.87
INV644105,2023-01-01,CUST0076,India,P1009,Backpack,2,43.37,86.74
INV376370,2024-02-11,CUST0631,France,P1013,Sticky Notes Pack,1,4.29,4.29
INV145248,2024-10-13,CUST0512,Canada,P1011,Table Lamp,2,26.63,53.26
INV893917,2024-11-18,CUST0371,Australia,P1005,Office Chair,1,93.9,93.9
INV334843,2024-04-20,CUST0533,Usa,P1005,Office Chair,5,88.96,444.8
INV328478,2024-08-05,CUST0535,France,P1003,Notebook Set,3,6.97,20.91
INV809135,2024-03-27,CUST0754,Australia,P1003,Notebook Set,4,6.75,27.0
INV522763,2024-12-06,CUST0479,Germany,P1006,Coffee Mug,5,8.65,43.25
INV463620,2024-04-10,CUST0661,India,P1006,Coffee Mug,4,8.14,32.56
INV163810,2024-08-15,CUST0703,Canada,P1011,Table Lamp,1,27.59,27.59
INV704265,2024-10-10,CUST0745,France,P1011,Table Lamp,2,28.08,56.16
INV104326,2024-07-19,CUST0689,Usa,P1004,Desk Lamp,4,22.61,90.44
INV171864,2023-01-01,CUST0533,Usa,P1011,Table Lamp,2,28.44,56.88
INV346782,2024-04-29,CUST0723,Australia,P1015,Winter Jacket,4,123.86,495.44
INV431549,2024-08-19,CUST0536,France,P1013,Sticky Notes Pack,2,4.36,8.72
INV870032,2023-08-21,CUST0369,Uk,P1006,Coffee Mug,4,7.88,31.52
INV490660,2024-08-06,CUST0043,France,P1010,Phone Case,5,10.23,51.15
INV675441,2024-11-06,CUST0556,Brazil,P1010,Phone Case,3,9.67,29.01
INV971117,2024-09-19,CUST0091,Brazil,P1009,Backpack,5,44.57,222.85
INV529990,2023-04-15,CUST0238,Germany,P1014,Running Shoes,4,64.15,256.6
INV683876,2024-11-11,CUST0260,Canada,P1002,Bluetooth Speaker,3,32.87,98.61
INV501775,2024-11-28,CUST0694,Germany,P1006,Coffee Mug,2,7.9,15.8
INV485603,2023-12-27,CUST0086,France,P1006,Coffee Mug,5,8.04,40.2
INV889019,2024-02-08,CUST0742,India,P1008,Water Bottle,3,11.38,34.14
INV917671,2024-11-02,CUST0481,Usa,P1006,Coffee Mug,2,8.15,16.3
INV551952,2024-11-05,CUST0096,Uk,P1004,Desk Lamp,1,21.2,21.2
INV146845,2023-10-07,CUST0684,Usa,P1010,Phone Case,2,9.7,19.4
INV104424,2024-12-06,CUST0732,Germany,P1002,Bluetooth Speaker,4,33.81,135.24
INV727674,2024-10-17,CUST0397,Australia,P1006,Coffee Mug,2,7.87,15.74
INV814789,2024-11-17,CUST0755,Uk,P1012,Gaming Headset,5,55.54,277.7
INV139825,2024-09-17,CUST0210,Usa,P1001,Wireless Mouse,4,16.72,66.88
INV393518,2024-05-27,CUST0013,Australia,P1006,Coffee Mug,3,8.06,24.18
INV341730,2023-01-01,CUST0692,Canada,P1014,Running Shoes,5,64.04,320.2
INV282445,2024-09-01,CUST0476,Canada,P1014,Running Shoes,1,67.67,67.67
INV472067,2024-06-10,CUST0177,France,P1011,Table Lamp,2,28.6,57.2
INV782766,2024-09-15,CUST0276,India,P1009,Backpack,2,43.4,86.8
INV737047,2024-08-17,CUST0291,Germany,P1015,Winter Jacket,2,120.75,241.5
INV473812,2024-02-27,CUST0772,Australia,P1009,Backpack,1,42.83,42.83
INV296158,2024-04-12,CUST0172,Germany,P1015,Winter Jacket,5,114.32,571.6
INV985932,2024-11-30,CUST0264,France,P1014,Running Shoes,1,64.79,64.79
INV537413,2024-05-24,CUST0533,Usa,P1008,Water Bottle,3,11.65,34.95
INV195693,2023-02-04,CUST0442,Usa,P1013,Sticky Notes Pack,2,4.4,8.8
INV633970,2024-08-08,CUST0580,France,P1012,Gaming Headset,1,54.68,54.68
INV731730,2024-07-03,CUST0188,France,P1012,Gaming Headset,2,57.55,115.1
INV858936,2024-10-21,CUST0020,Australia,P1001,Wireless Mouse,3,16.05,48.15
INV313682,2024-12-29,CUST0745,France,P1007,Yoga Mat,4,20.52,82.08
INV892756,2024-12-25,CUST0098,Australia,P1003,Notebook Set,2,6.89,13.78
INV317354,2024-11-05,CUST0763,Brazil,P1001,Wireless Mouse,2,16.71,33.42
INV725979,2024-08-28,CUST0781,Brazil,P1010,Phone Case,1,9.54,9.54
INV218970,2024-10-17,CUST0343,Usa,P1009,Backpack,4,47.23,188.92
INV781814,2024-03-21,CUST0157,Australia,P1010,Phone Case,1,9.67,9.67
INV117733,2024-12-21,CUST0761,Brazil,P1001,Wireless Mouse,2,16.26,32.52
INV836958,2024-08-15,CUST0296,Canada,P1010,Phone Case,3,9.57,28.71
INV960903,2024-04-28,CUST0757,Usa,P1014,Running Shoes,2,64.18,128.36
INV574738,2024-11-21,CUST0682,Usa,P1013,Sticky Notes Pack,2,4.07,8.14
INV140278,2024-11-03,CUST0167,Usa,P1004,Desk Lamp,5,21.32,106.6
INV826052,2024-09-27,CUST0461,India,P1002,Bluetooth Speaker,1,35.85,35.85
INV407423,2024-05-09,CUST0139,India,P1005,Office Chair,3,91.24,273.72
INV183633,2023-05-29,CUST0512,Canada,P1014,Running Shoes,2,63.1,126.2
INV520929,2024-12-19,CUST0692,Canada,P1010,Phone Case,2,9.85,19.7
INV504824,2023-03-31,CUST0400,Uk,P1005,Office Chair,2,91.03,182.06
INV672854,2024-05-14,CUST0350,France,P1010,Phone Case,1,9.57,9.57
INV561893,2024-02-14,CUST0723,Australia,P1008,Water Bottle,3,10.96,32.88
INV173301,2024-03-21,CUST0691,Germany,P1003,Notebook Set,4,6.78,27.12
INV709288,2024-12-05,CUST0590,Brazil,P1002,Bluetooth Speaker,4,33.77,135.08
INV611749,2023-07-23,CUST0245,Germany,P1004,Desk Lamp,3,21.0,63.0
INV655582,2023-01-01,CUST0499,France,P1015,Winter Jacket,5,115.65,578.25
INV279372,2023-12-23,CUST0664,Uk,P1014,Running Shoes,3,67.21,201.63
INV513347,2024-10-18,CUST0580,France,P1008,Water Bottle,5,12.01,60.05
INV863916,2024-11-18,CUST0176,Usa,P1006,Coffee Mug,4,8.08,32.32
INV727150,2023-09-21,CUST0667,Usa,P1011,Table Lamp,4,26.16,104.64
INV973926,2023-03-02,CUST0571,Canada,P1004,Desk Lamp,2,22.46,44.92
INV729247,2024-11-13,CUST0689,Usa,P1010,Phone Case,1,9.56,9.56
INV661110,2023-12-07,CUST0555,India,P1014,Running Shoes,4,65.03,260.12
INV319130,2024-07-30,CUST0209,Australia,P1004,Desk Lamp,5,22.38,111.9
INV944313,2024-02-17,CUST0087,Australia,P1014,Running Shoes,5,63.72,318.6
INV844633,2023-01-01,CUST0076,India,P1006,Coffee Mug,2,8.26,16.52
INV838186,2024-06-09,CUST0076,India,P1009,Backpack,5,45.67,228.35
INV421851,2023-10-29,CUST0702,India,P1015,Winter Jacket,5,116.66,583.3
INV117230,2023-03-16,CUST0493,Canada,P1007,Yoga Mat,4,20.99,83.96
INV978566,2024-09-03,CUST0678,Germany,P1003,Notebook Set,4,6.65,26.6
INV575475,2023-08-21,CUST0076,India,P1009,Backpack,5,43.05,215.25
INV734747,2023-07-24,CUST0121,Canada,P1007,Yoga Mat,3,20.42,61.26
INV718678,2024-04-17,CUST0152,Uk,P1013,Sticky Notes Pack,1,4.43,4.43
INV550541,2024-06-12,CUST0337,Germany,P1007,Yoga Mat,1,20.46,20.46
INV896671,2024-08-22,CUST0545,Canada,P1012,Gaming Headset,4,56.62,226.48
INV139996,2024-09-05,CUST0498,Brazil,P1015,Winter Jacket,3,114.16,342.48
INV719696,2024-06-14,CUST0729,Usa,P1007,Yoga Mat,4,20.15,80.6
INV928073,2023-01-01,CUST0546,Australia,P1004,Desk Lamp,3,21.99,65.97
INV465272,2024-06-01,CUST0443,Canada,P1004,Desk Lamp,4,22.39,89.56
INV476800,2023-10-10,CUST0706,Australia,P1004,Desk Lamp,2,21.72,43.44
INV443061,2023-01-01,CUST0212,India,P1012,Gaming Headset,3,53.9,161.7
INV332831,2024-11-30,CUST0072,Germany,P1011,Table Lamp,5,27.09,135.45
INV727221,2024-12-02,CUST0607,France,P1012,Gaming Headset,1,56.92,56.92
INV162289,2024-02-22,CUST0758,Uk,P1001,Wireless Mouse,5,16.0,80.0
INV927044,2024-12-02,CUST0764,India,P1011,Table Lamp,4,28.18,112.72
INV894172,2024-08-12,CUST0019,Australia,P1001,Wireless Mouse,1,15.6,15.6
INV182845,2024-03-21,CUST0637,France,P1014,Running Shoes,5,63.64,318.2
INV539698,2024-11-07,CUST0333,Canada,P1001,Wireless Mouse,4,16.18,64.72
INV727196,2024-10-08,CUST0692,Canada,P1012,Gaming Headset,4,57.17,228.68
INV509904,2023-01-01,CUST0622,France,P1008,Water Bottle,4,11.54,46.16
INV925282,2024-07-13,CUST0233,Brazil,P1001,Wireless Mouse,4,15.95,63.8
INV245235,2024-10-22,CUST0241,India,P1002,Bluetooth Speaker,4,35.92,143.68
INV614873,2024-12-24,CUST0429,Germany,P1013,Sticky Notes Pack,5,4.44,22.2
INV764404,2024-01-05,CUST0088,Germany,P1012,Gaming Headset,4,55.9,223.6
INV603549,2024-09-27,CUST0429,Germany,P1012,Gaming Headset,2,52.47,104.94
INV607622,2024-01-08,CUST0797,India,P1012,Gaming Headset,5,55.72,278.6
INV186766,2024-09-25,CUST0213,Australia,P1005,Office Chair,1,87.98,87.98
INV454101,2023-11-13,CUST0631,France,P1003,Notebook Set,5,6.77,33.85
INV842379,2023-06-06,CUST0004,India,P1010,Phone Case,4,9.56,38.24
INV688186,2024-01-31,CUST0515,France,P1007,Yoga Mat,1,20.59,20.59
INV244162,2024-10-21,CUST0214,Australia,P1011,Table Lamp,1,27.58,27.58
INV225909,2024-12-21,CUST0213,Australia,P1005,Office Chair,5,92.85,464.25
INV860050,2023-01-01,CUST0667,Usa,P1001,Wireless Mouse,4,15.47,61.88
INV351525,2023-01-01,CUST0791,Germany,P1003,Notebook Set,3,6.55,19.65
INV657409,2024-02-04,CUST0592,Canada,P1013,Sticky Notes Pack,1,4.32,4.32
INV764868,2024-11-08,CUST0124,Australia,P1014,Running Shoes,3,64.21,192.63
INV137304,2024-02-25,CUST0368,France,P1006,Coffee Mug,3,8.41,25.23
INV261237,2023-10-06,CUST0631,France,P1004,Desk Lamp,5,21.02,105.1
INV977773,2024-07-12,CUST0701,Australia,P1010,Phone Case,5,10.01,50.05
INV541108,2024-08-04,CUST0730,Usa,P1011,Table Lamp,4,26.87,107.48
INV912700,2023-01-01,CUST0608,Canada,P1001,Wireless Mouse,2,15.49,30.98
INV895604,2024-11-19,CUST0228,France,P1002,Bluetooth Speaker,3,36.05,108.15
INV219528,2024-11-19,CUST0410,France,P1010,Phone Case,2,10.32,20.64
INV440383,2024-12-20,CUST0300,Germany,P1015,Winter Jacket,1,115.87,115.87
INV932418,2024-06-05,CUST0011,Usa,P1009,Backpack,4,43.1,172.4
INV230266,2024-11-14,CUST0057,Canada,P1009,Backpack,1,45.83,45.83
INV796536,2024-12-04,CUST0345,France,P1010,Phone Case,3,9.99,29.97
INV260223,2024-12-13,CUST0028,Germany,P1007,Yoga Mat,3,19.17,57.51
INV791159,2024-09-17,CUST0478,France,P1005,Office Chair,1,88.66,88.66
INV171016,2023-12-20,CUST0589,Usa,P1008,Water Bottle,1,11.56,11.56
INV261230,2023-09-21,CUST0652,Uk,P1001,Wireless Mouse,4,15.76,63.04
INV832404,2024-07-12,CUST0395,Germany,P1007,Yoga Mat,2,20.37,40.74
INV956142,2024-11-25,CUST0055,Brazil,P1014,Running Shoes,3,65.93,197.79
INV970344,2024-01-13,CUST0337,Germany,P1010,Phone Case,1,10.35,10.35
INV822319,2023-01-01,CUST0622,France,P1010,Phone Case,4,9.79,39.16
INV313581,2024-10-31,CUST0034,Canada,P1011,Table Lamp,4,28.53,114.12
INV910620,2023-11-01,CUST0594,Germany,P1007,Yoga Mat,4,19.0,76.0
INV761314,2024-05-28,CUST0731,India,P1011,Table Lamp,3,26.57,79.71
INV646867,2024-11-09,CUST0152,Uk,P1014,Running Shoes,5,65.31,326.55
INV857061,2024-06-18,CUST0288,Brazil,P1004,Desk Lamp,5,23.04,115.2
INV508948,2024-06-24,CUST0423,Usa,P1015,Winter Jacket,1,117.32,117.32
INV972685,2024-07-13,CUST0675,Canada,P1011,Table Lamp,4,26.39,105.56
INV504779,2024-08-28,CUST0270,Australia,P1007,Yoga Mat,1,19.77,19.77
INV734808,2023-01-01,CUST0382,Germany,P1001,Wireless Mouse,5,16.54,82.7
INV184994,2024-04-13,CUST0052,Australia,P1001,Wireless Mouse,3,15.75,47.25
INV551039,2023-07-08,CUST0709,France,P1008,Water Bottle,1,11.85,11.85
INV520586,2023-09-07,CUST0652,Uk,P1008,Water Bottle,1,11.19,11.19
INV791147,2024-07-08,CUST0793,France,P1009,Backpack,3,45.68,137.04
INV349836,2024-08-26,CUST0446,Canada,P1015,Winter Jacket,3,122.51,367.53
INV610579,2024-12-02,CUST0603,Canada,P1014,Running Shoes,2,68.03,136.06
INV902541,2024-07-09,CUST0539,France,P1012,Gaming Headset,5,56.41,282.05
INV301515,2024-04-07,CUST0194,Canada,P1012,Gaming Headset,2,55.23,110.46
INV221414,2023-03-27,CUST0356,Usa,P1014,Running Shoes,5,65.53,327.65
INV680502,2024-11-16,CUST0175,Canada,P1015,Winter Jacket,3,116.7,350.1
INV932775,2024-11-10,CUST0647,Germany,P1008,Water Bottle,4,11.67,46.68
INV299008,2023-07-02,CUST0624,Canada,P1010,Phone Case,4,9.61,38.44
INV836528,2024-06-30,CUST0784,France,P1006,Coffee Mug,3,8.12,24.36
INV104249,2024-03-17,CUST0348,Australia,P1007,Yoga Mat,5,20.88,104.4
INV497772,2024-08-07,CUST0192,Canada,P1007,Yoga Mat,5,20.32,101.6
INV426881,2024-05-15,CUST0756,Canada,P1002,Bluetooth Speaker,1,33.15,33.15
INV611224,2024-05-06,CUST0406,France,P1014,Running Shoes,5,67.33,336.65
INV397856,2024-12-06,CUST0159,France,P1007,Yoga Mat,1,19.17,19.17
INV448835,2023-09-03,CUST0506,Canada,P1004,Desk Lamp,4,21.71,86.84
INV641740,2024-09-11,CUST0355,France,P1010,Phone Case,2,10.46,20.92
INV423038,2024-11-12,CUST0371,Australia,P1012,Gaming Headset,5,57.38,286.9
INV275820,2024-03-21,CUST0320,Canada,P1008,Water Bottle,1,11.99,11.99
INV348167,2023-01-01,CUST0096,Uk,P1006,Coffee Mug,2,8.62,17.24
INV967059,2024-11-15,CUST0301,Australia,P1011,Table Lamp,2,26.42,52.84
INV434711,2024-01-11,CUST0382,Germany,P1010,Phone Case,2,9.89,19.78
INV346449,2024-08-03,CUST0199,Brazil,P1001,Wireless Mouse,5,16.12,80.6
INV497765,2024-09-18,CUST0748,Germany,P1010,Phone Case,5,9.83,49.15
INV498424,2024-08-12,CUST0363,Germany,P1010,Phone Case,4,9.82,39.28
INV547344,2024-09-01,CUST0097,Brazil,P1014,Running Shoes,3,66.24,198.72
INV262039,2024-07-21,CUST0014,Uk,P1007,Yoga Mat,5,19.49,97.45
INV720130,2024-12-16,CUST0117,Germany,P1014,Running Shoes,5,62.14,310.7
